"","SRR12885679","SRR12885688","SRR12885709","SRR12885579","SRR12885580","SRR12885581"
"ENSG00000011198",2691,5252,27427,1,1,1
"ENSG00000011201",48,86,94,1,1,1
"ENSG00000011243",5298,6836,9890,1,1,1
"ENSG00000011258",1919,2602,5929,1,1,1
"ENSG00000011260",2982,3363,7632,1,1,1
"ENSG00000011275",4863,4461,6032,1,1,1
"ENSG00000011295",7128,7475,5330,1,1,1
"ENSG00000011304",11491,13912,30244,1,1,1
"ENSG00000011332",102,66,45,1,1,1
"ENSG00000011347",40390,25207,8332,1,1,1
"ENSG00000011376",2225,1682,1473,1,1,1
"ENSG00000011405",10537,12578,35498,1,1,1
"ENSG00000011422",977,1631,5870,1,1,1
"ENSG00000011426",99,131,709,1,1,1
"ENSG00000011451",2614,2682,3957,1,1,1
"ENSG00000011454",6763,5768,8370,1,1,1
"ENSG00000011465",1508,3759,10953,1,1,1
"ENSG00000011478",348,622,1608,1,1,1
"ENSG00000011485",4782,4769,2667,1,1,1
"ENSG00000011523",2946,3022,1584,1,1,1
"ENSG00000011566",3774,6127,13248,1,1,1
"ENSG00000011590",21,39,20,1,1,1
"ENSG00000011600",210,257,1,1,1,1
"ENSG00000011638",2016,1990,931,1,1,1
"ENSG00000011677",141,35,31,1,1,1
"ENSG00000012048",348,339,352,1,1,1
"ENSG00000012061",2087,1978,3975,1,1,1
"ENSG00000012124",636,609,168,1,1,1
"ENSG00000012171",2062,4798,648,1,1,1
"ENSG00000012174",4023,6382,4746,1,1,1
"ENSG00000012211",392,258,347,1,1,1
"ENSG00000012223",94,122,18,1,1,1
"ENSG00000012232",6321,7044,5396,1,1,1
"ENSG00000012504",1318,991,69,1,1,1
"ENSG00000012660",12837,10421,24222,1,1,1
"ENSG00000012779",3789,3803,1648,1,1,1
"ENSG00000012817",6244,1,1,1,1,1
"ENSG00000012822",4756,4467,5138,1,1,1
"ENSG00000012963",3046,4418,7294,1,1,1
"ENSG00000012983",4782,5728,24492,1,1,1
"ENSG00000013016",1218,630,519,1,1,1
"ENSG00000013275",6196,5427,10234,1,1,1
"ENSG00000013288",7543,6136,1734,1,1,1
"ENSG00000013293",5353,6820,2218,1,1,1
"ENSG00000013297",78,36,54,1,1,1
"ENSG00000013306",7239,5180,4647,1,1,1
"ENSG00000013364",12395,10760,3879,1,1,1
"ENSG00000013374",5386,6170,9882,1,1,1
"ENSG00000013375",5800,9548,19188,1,1,1
"ENSG00000013392",1394,1949,1214,1,1,1
"ENSG00000013441",7505,7679,44156,1,1,1
"ENSG00000013503",1347,651,960,1,1,1
"ENSG00000013523",7266,6148,2128,1,1,1
"ENSG00000013561",7781,5915,4460,1,1,1
"ENSG00000013563",1169,1653,362,1,1,1
"ENSG00000013573",498,844,1205,1,1,1
"ENSG00000013583",1663,1913,1609,1,1,1
"ENSG00000013588",1988,1499,2424,1,1,1
"ENSG00000013619",1100,4356,880,1,1,1
"ENSG00000013725",178,121,7,1,1,1
"ENSG00000013810",453,199,1194,1,1,1
"ENSG00000014123",7515,12203,9498,1,1,1
"ENSG00000014138",109,105,262,1,1,1
"ENSG00000014164",2014,1232,1434,1,1,1
"ENSG00000014216",11632,9705,3269,1,1,1
"ENSG00000014257",2179,825,217,1,1,1
"ENSG00000014641",16254,12649,21730,1,1,1
"ENSG00000014824",12134,12953,11879,1,1,1
"ENSG00000014914",1875,2297,631,1,1,1
"ENSG00000014919",2604,2862,3509,1,1,1
"ENSG00000015133",2200,1885,878,1,1,1
"ENSG00000015153",1072,1522,3579,1,1,1
"ENSG00000015171",15840,18534,13800,1,1,1
"ENSG00000015285",38,70,57,1,1,1
"ENSG00000015413",812,1592,84,1,1,1
"ENSG00000015475",1453,1112,808,1,1,1
"ENSG00000015479",296,314,891,1,1,1
"ENSG00000015520",3386,3082,1442,1,1,1
"ENSG00000015532",926,1291,259,1,1,1
"ENSG00000015568",66,196,170,1,1,1
"ENSG00000015592",11,13,119,1,1,1
"ENSG00000015676",6466,6551,6832,1,1,1
"ENSG00000016082",8974,13214,1635,1,1,1
"ENSG00000016391",3391,6703,1121,1,1,1
"ENSG00000016402",3128,2794,413,1,1,1
"ENSG00000016490",128,15,2,1,1,1
"ENSG00000016602",6,35,22,1,1,1
"ENSG00000016864",6417,6002,4296,1,1,1
"ENSG00000017260",16460,12679,11296,1,1,1
"ENSG00000017427",5,24,1,1,1,1
"ENSG00000017483",298,208,307,1,1,1
"ENSG00000017797",5467,6102,5164,1,1,1
"ENSG00000018189",10081,9232,9699,1,1,1
"ENSG00000018236",34222,23673,2993,1,1,1
"ENSG00000018280",76,130,43,1,1,1
"ENSG00000018408",2460,3823,1182,1,1,1
"ENSG00000018510",4449,4686,5167,1,1,1
"ENSG00000018607",1,1,1,1,1,1
"ENSG00000018610",1773,2644,5188,1,1,1
"ENSG00000018625",5,20,27,1,1,1
"ENSG00000018699",1209,1278,2048,1,1,1
"ENSG00000018869",436,315,611,1,1,1
"ENSG00000019102",43,277,78,1,1,1
"ENSG00000019144",1802,1739,690,1,1,1
"ENSG00000019169",9,12,20,1,1,1
"ENSG00000019186",2,1,10,1,1,1
"ENSG00000019485",1438,1156,1020,1,1,1
"ENSG00000019505",105346,43698,24174,1,1,1
"ENSG00000019549",156,273,552,1,1,1
"ENSG00000019582",13974,9491,769,1,1,1
"ENSG00000019991",52,46,239,1,1,1
"ENSG00000019995",2069,3081,8456,1,1,1
"ENSG00000020129",2596,1323,2131,1,1,1
"ENSG00000020181",927,892,183,1,1,1
"ENSG00000020219",2,2,8,1,1,1
"ENSG00000020256",965,1120,274,1,1,1
"ENSG00000020426",1318,1266,1669,1,1,1
"ENSG00000020577",1505,3460,7242,1,1,1
"ENSG00000020633",55,107,161,1,1,1
"ENSG00000020922",2009,2436,5722,1,1,1
"ENSG00000021300",1542,759,49,1,1,1
"ENSG00000021355",10948,8848,4622,1,1,1
"ENSG00000021461",1,13,31,1,1,1
"ENSG00000021488",17,33,155,1,1,1
"ENSG00000021574",3575,3738,3642,1,1,1
"ENSG00000021645",443,271,207,1,1,1
"ENSG00000021762",309,372,79,1,1,1
"ENSG00000021776",5556,3786,7010,1,1,1
"ENSG00000021826",71,38,12,1,1,1
"ENSG00000021852",92,296,12,1,1,1
"ENSG00000022267",3030,4306,2174,1,1,1
"ENSG00000022277",7151,8086,11306,1,1,1
"ENSG00000022355",59,81,244,1,1,1
"ENSG00000022556",340,507,1841,1,1,1
"ENSG00000022567",2527,3600,1149,1,1,1
"ENSG00000022840",9587,9986,16804,1,1,1
"ENSG00000022976",660,929,307,1,1,1
"ENSG00000023041",2673,3349,5299,1,1,1
"ENSG00000023171",4579,4299,840,1,1,1
"ENSG00000023191",7177,5458,6957,1,1,1
"ENSG00000023228",11479,11072,10126,1,1,1
"ENSG00000023287",6611,10459,29578,1,1,1
"ENSG00000023318",8931,11495,13632,1,1,1
"ENSG00000023330",5517,4796,6366,1,1,1
"ENSG00000023445",3956,7847,3600,1,1,1
"ENSG00000023516",16294,20071,9322,1,1,1
"ENSG00000023572",1376,2474,5973,1,1,1
"ENSG00000023608",877,636,6894,1,1,1
"ENSG00000023697",2439,3308,1570,1,1,1
"ENSG00000023734",12628,18219,20070,1,1,1
"ENSG00000023839",66,203,1134,1,1,1
"ENSG00000023892",131,480,238,1,1,1
"ENSG00000023902",383,756,2178,1,1,1
"ENSG00000023909",8917,17836,18580,1,1,1
"ENSG00000024048",5998,6554,6475,1,1,1
"ENSG00000024422",777,1052,457,1,1,1
"ENSG00000024526",26,23,16,1,1,1
"ENSG00000024862",2154,3095,3377,1,1,1
"ENSG00000025039",11227,15728,33380,1,1,1
"ENSG00000025156",2113,2940,6499,1,1,1
"ENSG00000025293",3988,4429,9166,1,1,1
"ENSG00000025423",35,21,20,1,1,1
"ENSG00000025434",477,342,173,1,1,1
"ENSG00000025708",620,552,569,1,1,1
